Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000456592,TAPBP-236,436.916,11,795,425.916,0.9748235358741726,more_multi,STAR,STAR
ENST00000431845,ZBTB22-208,408,4,404,404,0.9901960784313726,more_multi,STAR,STAR
ENST00000470973,GLO1-202,658.478,98,17006,560.478,0.8511719450004404,more_multi,STAR,STAR
ENST00000666607,SNHG5-263,508.091,0,1923,508.091,1,all_ambig_reads,STAR,STAR
ENST00000495499,RAC1-205,862.8,367,5476,495.79999999999995,0.5746407046824292,more_multi,STAR,STAR
ENST00000353047,CTSB-202,1549.279,0,9323,1549.279,1,all_ambig_reads,STAR,STAR
ENST00000679051,CTSB-258,558.775,0,8425,558.775,1,all_ambig_reads,STAR,STAR
ENST00000453527,CTSB-204,826.46,1,7528,825.46,0.9987900200856665,more_multi,STAR,STAR
ENST00000531551,CTSB-221,638.753,0,7377,638.753,1,all_ambig_reads,STAR,STAR
ENST00000526645,CTSB-212,4703.053,0,8103,4703.053,1,all_ambig_reads,STAR,STAR
ENST00000520226,DLC1-215,0,0,8723,0,0,NA,STAR,STAR
ENST00000638951,TEX15-203,555.274,0,868,555.274,1,all_ambig_reads,STAR,STAR
ENST00000519669,KRT8P3-201,405.206,372,459,33.20600000000002,0.08194844103986618,more_unique,STAR,STAR
ENST00000532400,EEF1D-243,971.488,47,2566,924.488,0.9516206067393524,more_multi,STAR,STAR
ENST00000526054,VPS28-204,509.428,0,1041,509.428,1,all_ambig_reads,STAR,STAR
ENST00000292510,VPS28-201,394.517,0,1077,394.517,1,all_ambig_reads,STAR,STAR
ENST00000533397,RPL8-213,1462.024,292,19219,1170.024,0.8002768764397848,more_multi,STAR,STAR
ENST00000435128,ANXA2P2-201,833.696,769,704,64.69600000000003,0.07760142785859597,more_unique,STAR,STAR
ENST00000428832,EIF4A1P10-201,468.596,393,445,75.596,0.16132446713160165,more_unique,STAR,STAR
