Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000470268,SF3B1-208,7025.478,1340,29073,5685.478,0.809265647120381,more_multi,Discordant,HISAT2
ENST00000345042,HSPD1-201,4018.828,17,14317,4001.828,0.9957699110287875,more_multi,Discordant,HISAT2
ENST00000533498,RPL38-206,17197.276,4857,17446,12340.276000000002,0.7175715502850568,more_multi,Discordant,HISAT2
ENST00000278756,APLP2-202,3322.457,12,18624,3310.457,0.9963882151070729,more_multi,Discordant,HISAT2
ENST00000536769,UBC-205,9966.431,1388,68842,8578.431,0.8607324929054343,more_multi,Discordant,HISAT2
ENST00000392396,TFRC-202,11303.148,601,23507,10702.148,0.9468289718934937,more_multi,Discordant,HISAT2
ENST00000574671,ACTG1-206,3851.945,149,21550,3702.945,0.9613182431213322,more_multi,Discordant,HISAT2
ENST00000331483,P4HB-201,532.094,124,1065,408.09400000000005,0.7669584697440678,more_multi,Discordant,HISAT2
ENST00000368259,CCT3-204,3203.162,12,20403,3191.162,0.9962537018108981,more_multi,Discordant,HISAT2
ENST00000676972,NDUFS2-224,195.846,44,280,151.846,0.7753336805449179,more_multi,Discordant,HISAT2
ENST00000481928,PTMA-212,6532.298,2214,40206,4318.298,0.6610687387501305,more_multi,Discordant,HISAT2
ENST00000360051,SEPTIN2-201,3578.281,51,20085,3527.281,0.9857473462816364,more_multi,Discordant,HISAT2
ENST00000402092,SEPTIN2-206,4608.893,6,19803,4602.893,0.9986981689529352,more_multi,Discordant,HISAT2
ENST00000444376,HNRNPU-205,6224.742,28,31110,6196.742,0.9955018216016022,more_multi,Discordant,HISAT2
ENST00000436459,EEF1A1P5-201,1631.305,258,29575,1373.305,0.8418444129086835,more_multi,Discordant,HISAT2
ENST00000615959,MIR3648-1-201,42690.576,323,43098,42367.576,0.992433927337968,more_multi,Discordant,HISAT2
ENST00000631211,FP671120.6-201,685.607,3,2685,682.607,0.9956243153876784,more_multi,Discordant,HISAT2
ENST00000666782,MIR663AHG-312,2114.032,1466,662,648.0320000000002,0.3065384062303693,more_unique,Discordant,HISAT2
ENST00000638356,AD000090.1-201,7276,7213,137,63,0.008658603628367234,more_unique,Discordant,HISAT2
ENST00000448136,SNHG16-201,2435.315,203,12481,2232.315,0.9166432268515572,more_multi,Discordant,HISAT2
ENST00000365328,7SK.1-201,28474.067,458,563285,28016.067,0.9839151885117079,more_multi,Discordant,HISAT2
ENST00000322805,NA,5627.068,5,15038,5622.068,0.9991114377860726,more_multi,HISAT2,HISAT2
ENST00000421473,NA,6088.468,433,17451,5655.468,0.9288819453432292,more_multi,HISAT2,HISAT2
ENST00000422650,NA,6389.417,457,17673,5932.417,0.9284754774966166,more_multi,HISAT2,HISAT2
ENST00000432462,NA,6278.168,471,17445,5807.168,0.9249781146347151,more_multi,HISAT2,HISAT2
ENST00000436628,NA,6200.852,475,17395,5725.852,0.9233976234233618,more_multi,HISAT2,HISAT2
ENST00000422674,NA,5581.969,512,16689,5069.969,0.9082760939732915,more_multi,HISAT2,HISAT2
ENST00000400530,NA,4048.073,605,11245,3443.073,0.8505461734509234,more_multi,HISAT2,HISAT2
ENST00000419792,NA,6595.978,466,17848,6129.978,0.929350886252198,more_multi,HISAT2,HISAT2
ENST00000529421,TPT1-210,7127.399,8,19963,7119.399,0.9988775709063011,more_multi,HISAT2,HISAT2
ENST00000380633,TMSB4X-201,4521.43,0,14792,4521.43,1,all_ambig_reads,HISAT2,HISAT2
ENST00000675515,ACTB-220,59938.532,886,199224,59052.532,0.9852181898615735,more_multi,HISAT2,HISAT2
ENST00000425660,ACTB-203,32701.251,48,169326,32653.251,0.998532166246484,more_multi,HISAT2,HISAT2
ENST00000493945,ACTB-212,26452.887,505,130315,25947.887,0.9809094561209898,more_multi,HISAT2,HISAT2
ENST00000617249,PDIA6-208,6010.384,0,17984,6010.384,1,all_ambig_reads,HISAT2,HISAT2
ENST00000540494,PDIA6-207,6316.298,433,17953,5883.298,0.9314471863107155,more_multi,HISAT2,HISAT2
ENST00000488427,ITGB1-214,4555.361,103,14901,4452.361,0.9773892782591764,more_multi,HISAT2,HISAT2
ENST00000676895,ITGB1-223,4294.456,96,14936,4198.456,0.9776455970209033,more_multi,HISAT2,HISAT2
ENST00000344624,DROSHA-201,5672.843,85,19008,5587.843,0.9850163313174717,more_multi,HISAT2,HISAT2
ENST00000502553,TARS1-204,6860.447,3,21765,6857.447,0.9995627107096666,more_multi,HISAT2,HISAT2
ENST00000507716,TARS1-209,4347.464,4,20395,4343.464,0.9990799233760188,more_multi,HISAT2,HISAT2
ENST00000376263,HNRNPK-204,5123.187,57,44275,5066.187,0.9888741129300961,more_multi,HISAT2,HISAT2
ENST00000412359,BUB1B-202,7580.593,624,8844,6956.593,0.9176845399825581,more_multi,HISAT2,HISAT2
ENST00000647408,ENO1-216,6457.539,17,82234,6440.539,0.9973674181449,more_multi,HISAT2,HISAT2
ENST00000508595,RPL9-207,6487.183,8,18276,6479.183,0.998766799086753,more_multi,HISAT2,HISAT2
ENST00000492719,GAPDH-209,25283,10786,55892,14497,0.5733892338725626,more_multi,HISAT2,HISAT2
ENST00000358075,MAGT1-201,5371.519,33,5638,5338.519,0.9938564864054283,more_multi,HISAT2,HISAT2
ENST00000674977,POLR2A-210,5510.414,139,19708,5371.414,0.9747750350518128,more_multi,HISAT2,HISAT2
ENST00000380935,ERBIN-202,6737.492,31,27405,6706.492,0.9953988813641634,more_multi,HISAT2,HISAT2
ENST00000591254,TRIR-204,5567.969,1799,6477,3768.969,0.6769019367744324,more_multi,HISAT2,HISAT2
ENST00000464218,RPS10-202,5611.264,9,17103,5602.264,0.99839608330672025,more_multi,HISAT2,HISAT2
ENST00000655450,CALM2-211,6645.541,1,19476,6644.541,0.9998495231614702,more_multi,HISAT2,HISAT2
ENST00000400259,CDC42-203,6929.705,90,19597,6839.705,0.9870124341512373,more_multi,HISAT2,HISAT2
ENST00000380876,EIF3CL-201,5743.687,14,22718,5729.687,0.9975625412735757,more_multi,HISAT2,HISAT2
ENST00000680272,HSPA5-207,4248.27,10,18010,4238.27,0.9976461006480285,more_multi,HISAT2,HISAT2
ENST00000396467,RPL7-204,11728.831,5964,37717,5764.831,0.4915094266427745,more_unique,HISAT2,HISAT2
ENST00000354558,CKAP5-202,4714.154,21,33013,4693.154,0.9955453300846769,more_multi,HISAT2,HISAT2
ENST00000630827,HNRNPDL-210,4271.505,5,10327,4266.505,0.9988294523827081,more_multi,HISAT2,HISAT2
ENST00000678200,RHOA-209,10249.981,12,32344,10237.981,0.9988292661225421,more_multi,HISAT2,HISAT2
ENST00000630804,SPTAN1-222,6175.497,11,30791,6164.497,0.9982187668458101,more_multi,HISAT2,HISAT2
ENST00000677968,ANXA2-241,4371.881,208,16146,4163.881,0.9524232246943592,more_multi,HISAT2,HISAT2
ENST00000558558,ANXA2-213,4968.942,186,15788,4782.942,0.9625674841847621,more_multi,HISAT2,HISAT2
ENST00000559113,ANXA2-217,4416.004,234,14939,4182.004,0.9470109175625747,more_multi,HISAT2,HISAT2
ENST00000559956,ANXA2-227,4522.694,189,16027,4333.694,0.9582107478418836,more_multi,HISAT2,HISAT2
ENST00000678870,ANXA2-245,4262.902,174,16064,4088.902,0.95918273514146,more_multi,HISAT2,HISAT2
ENST00000679109,ANXA2-246,5701.253,182,16182,5519.253,0.9680771928556757,more_multi,HISAT2,HISAT2
ENST00000559818,ANXA2-226,4870.215,169,15973,4701.215,0.9652992732353705,more_multi,HISAT2,HISAT2
ENST00000558347,TPM1-212,4426.676,18,11377,4408.676,0.9959337435131914,more_multi,HISAT2,HISAT2
ENST00000610817,FLNA-218,18180.419,396,72220,17784.419,0.9782183237911073,more_multi,HISAT2,HISAT2
ENST00000479017,RPL29-204,5077.323,3,15996,5074.323,0.9994091374529451,more_multi,HISAT2,HISAT2
ENST00000455918,EEF1A1-206,19186.972,217,82885,18969.972,0.98869024252498,more_multi,HISAT2,HISAT2
ENST00000678702,EEF1A1-221,25732.576,119,82076,25613.576,0.9953755115694597,more_multi,HISAT2,HISAT2
ENST00000678041,EEF1A1-217,5602.545,434,43361,5168.545,0.9225352049827356,more_multi,HISAT2,HISAT2
ENST00000415930,GPI-202,5816.569,125,20907,5691.569,0.9785096678127604,more_multi,HISAT2,HISAT2
ENST00000547765,TUBA1B-204,15638.159,231,118600,15407.159,0.9852284402531014,more_multi,HISAT2,HISAT2
ENST00000550367,TUBA1B-206,8293.494,75,41015,8218.494,0.9909567668343403,more_multi,HISAT2,HISAT2
ENST00000552448,TUBA1C-209,9040.587,44,54234,8996.587,0.9951330593909444,more_multi,HISAT2,HISAT2
ENST00000489841,MCM7-210,4216.302,23,11745,4193.302,0.9945449827834913,more_multi,HISAT2,HISAT2
ENST00000546897,KRT8-205,8130.868,30,34677,8100.868,0.9963103570246129,more_multi,HISAT2,HISAT2
ENST00000435347,LASP1-204,4765.017,47,30581,4718.017,0.9901364465226462,more_multi,HISAT2,HISAT2
ENST00000582193,RPL19-205,12064.232,4,39825,12060.232,0.9996684413893897,more_multi,HISAT2,HISAT2
ENST00000599539,RPS16-204,4348.629,283,6500,4065.629,0.934922017950945,more_multi,HISAT2,HISAT2
ENST00000527344,CFL1-206,6633.527,18,28364,6615.527,0.9972865113837631,more_multi,HISAT2,HISAT2
ENST00000524553,CFL1-202,4191.611,33,21906,4158.611,0.992127132026326,more_multi,HISAT2,HISAT2
ENST00000436759,PLEC-208,3409.345,6,22922,3403.345,0.9982401311688902,more_multi,HISAT2,HISAT2
ENST00000546485,RPL41-203,19108.669,1132,23630,17976.669,0.9407598718675801,more_multi,HISAT2,HISAT2
ENST00000549143,CS-215,5245.241,3,15663,5242.241,0.9994280529722085,more_multi,HISAT2,HISAT2
ENST00000586277,RPL27-202,6169.384,1442,10843,4727.384,0.766265157104826,more_multi,HISAT2,HISAT2
